question,true_label
"bagaimana cara menghitung zakat perniagaan atau dagang?","BAZNAS"
"apa itu program Zakat Community Development (ZCD)?","BAZNAS"
"bagaimana hukumnya membayar zakat dengan barang?","BAZNAS"
"jelaskan struktur organisasi BAZNAS di tingkat pusat","BAZNAS"
"apa saja inovasi BAZNAS dalam pengumpulan zakat?","BAZNAS"
"bagaimana cara menghitung zakat tabungan di bank?","BAZNAS"
"apa saja program BAZNAS untuk para lansia?","BAZNAS"
"bagaimana sinergi BAZNAS dengan lembaga pemerintah lainnya?","BAZNAS"
"apa itu zakat rikaz dan bagaimana cara menghitungnya?","BAZNAS"
"bagaimana cara menjadi relawan di program-program BAZNAS?","BAZNAS"
"apa saja indikator keberhasilan program penyaluran zakat?","BAZNAS"
"jelaskan tentang audit syariah pada laporan keuangan BAZNAS","BAZNAS"
"bagaimana cara zakat perusahaan?","BAZNAS"
"apa saja program BAZNAS di bidang kesehatan?","BAZNAS"
"bagaimana cara membedakan LAZ resmi dan tidak resmi?","BAZNAS"
"apa saja pencapaian BAZNAS dalam lima tahun terakhir?","BAZNAS"
"bagaimana cara menghitung zakat investasi properti?","BAZNAS"
"apa peran teknologi dalam optimalisasi pengumpulan zakat?","BAZNAS"
"saya merasa hampa dan kehilangan arah, apa yang harus saya lakukan?","ISLAMI"
"bagaimana cara meningkatkan keimanan dan ketakwaan?","ISLAMI"
"saya sering merasa cemas berlebihan, adakah ayat Al-Quran yang bisa menenangkan?","ISLAMI"
"bagaimana cara agar bisa lebih bersyukur setiap hari?","ISLAMI"
"saya sedang diuji dengan masalah berat, bagaimana cara agar tetap sabar?","ISLAMI"
"bagaimana cara memaafkan orang yang telah menyakiti kita?","ISLAMI"
"saya merasa malas beribadah, bagaimana cara mengatasinya?","ISLAMI"
"apa makna dari tawakal kepada Allah?","ISLAMI"
"bagaimana cara menjaga hati agar terhindar dari penyakit hati seperti iri dan dengki?","ISLAMI"
"saya merasa tidak percaya diri, bagaimana Islam memandang hal ini?","ISLAMI"
"adakah doa untuk memohon kemudahan dalam segala urusan?","ISLAMI"
"bagaimana cara menghadapi kegagalan menurut ajaran Islam?","ISLAMI"
"saya merasa kesepian, bagaimana cara mengatasinya?","ISLAMI"
"apa keutamaan shalat tahajud?","ISLAMI"
"bagaimana cara agar doa kita lebih mudah dikabulkan?","ISLAMI"
"saya sering berpikir negatif, bagaimana cara mengubahnya?","ISLAMI"
"bagaimana cara mendidik anak agar menjadi anak yang sholeh dan sholehah?","ISLAMI"
"apa pentingnya silaturahmi dalam Islam?","ISLAMI"
"bagaimana cara mengelola amarah agar tidak merugikan diri sendiri dan orang lain?","ISLAMI"
"saya merasa hidup saya tidak adil, bagaimana cara menyikapinya?","ISLAMI"
"apa saja amalan sederhana yang pahalanya besar?","ISLAMI"
"bagaimana cara menemukan tujuan hidup menurut Islam?","ISLAMI"
"saya merasa iri dengan kesuksesan orang lain, bagaimana cara mengatasinya?","ISLAMI"
"apa yang harus dilakukan ketika kita merasa ragu dalam mengambil keputusan?","ISLAMI"
"bagaimana cara agar bisa istiqomah dalam berbuat baik?","ISLAMI"
"apa makna kebahagiaan sejati dalam Islam?","ISLAMI"
"bagaimana cara berbakti kepada orang tua yang sudah meninggal?","ISLAMI"
"saya sering menunda-nunda pekerjaan, bagaimana cara menghilangkan kebiasaan buruk ini?","ISLAMI"
"apa saja tanda-tanda bahwa taubat kita diterima oleh Allah?","ISLAMI"
"bagaimana cara menjaga lisan agar tidak menyakiti orang lain?","ISLAMI"
"saya merasa sulit untuk fokus saat shalat, adakah tipsnya?","ISLAMI"
"bagaimana cara menyeimbangkan urusan dunia dan akhirat?","ISLAMI"
"apa hikmah di balik setiap musibah yang kita alami?","ISLAMI"
"bagaimana cara agar terhindar dari godaan setan?","ISLAMI"
"saya ingin sekali bisa menghafal Al-Quran, bagaimana cara memulainya?","ISLAMI"
"apa saja keutamaan membaca surat Al-Kahfi di hari Jumat?","ISLAMI"
"bagaimana cara agar rezeki kita menjadi lebih berkah?","ISLAMI"
"saya merasa takut akan kematian, bagaimana cara menyikapinya?","ISLAMI"
"apa yang harus dilakukan jika kita memiliki hutang puasa Ramadhan?","ISLAMI"
"bagaimana cara memilih teman yang baik menurut Islam?","ISLAMI"
"saya merasa lelah dengan kehidupan ini, apa yang harus saya lakukan?","ISLAMI"
"bagaimana cara agar bisa mencintai Allah dan Rasul-Nya dengan tulus?","ISLAMI"
"apa saja ciri-ciri orang yang munafik?","ISLAMI"
"bagaimana cara berdakwah yang baik dan efektif di zaman sekarang?","ISLAMI"
"saya merasa sulit untuk memaafkan diri sendiri atas kesalahan masa lalu","ISLAMI"
"apa pentingnya menuntut ilmu dalam Islam?","ISLAMI"
"bagaimana cara agar pernikahan menjadi sakinah, mawaddah, warahmah?","ISLAMI"
"saya merasa cemburu, bagaimana cara mengendalikannya?","ISLAMI"
"apa saja amalan yang bisa dilakukan di bulan Muharram?","ISLAMI"
"bagaimana cara agar tetap positif meskipun dikelilingi lingkungan yang negatif?","ISLAMI"
